Record;EDID;Full - Name
5463093;recipe_mod_AssaultRifle_SCOPE_shortscope_NV_Base;Plan: Assault Rifle Short NV Scope
2163;recipe_mod_AssaultRifle_Receiver_FastTrigger-HipAccuracy;Plan: Assault Rifle Steadfast Receiver
2162;recipe_mod_AssaultRifle_Receiver_FastTrigger-Damage;Plan: Assault Rifle Vigorous Receiver
4419571;Recipe_Weapon_Melee_AssaultronBlade;Plan: Assaultron Blade
4419600;Recipe_Weapon_Ranged_AssaultronHead;Plan: Assaultron Head
4641432;zzzrecipe_mod_AssaultronHead_Sheepsquatch;Plan: Assaultron Head Sheepsquatch mod
5152699;Recipe_Workshop_Lights_MiscLights;Plan: Assorted Lights
6212563;Recipe_Workshop_Lights_AsylumLight;Plan: Asylum Light
5145909;Recipe_Workshop_FloorDecor_Rugs_Bearskin_Rug;Plan: Authentic Bearskin Rug
5804892;W05_Recipe_Weapon_Melee_AutoAxe_GoldVendor;Plan: Auto Axe
5839107;W05_recipe_mod_AutoAxe_Burning_GoldVendor;Plan: Auto Axe Burning Mod
5839108;W05_recipe_mod_AutoAxe_Electrified_GoldVendor;Plan: Auto Axe Electrified Mod
5839109;W05_recipe_mod_AutoAxe_Poisoned_GoldVendor;Plan: Auto Axe Poisoned Mod
5839110;W05_recipe_mod_AutoAxe_Turbo_GoldVendor;Plan: Auto Axe Turbo Mod
5195646;Recipe_Weapon_Ranged_AutoGrenadeLauncher;Plan: Auto Grenade Launcher
4629413;P01C_Tadpole_Recipe_Backpack_Effect_ArmorPlated;Plan: Backpack Armor Plated Mod
4629414;P01C_Tadpole_Recipe_Backpack_Effect_HighCapacity;Plan: Backpack High Capacity Mod
4629415;P01C_Tadpole_Recipe_Backpack_Effect_Insulated;Plan: Backpack Insulated Mod
4375902;P01C_Tadpole_Recipe_Backpack_Effect_LeadLined;Plan: Backpack Lead Lined Mod
4629416;P01C_Tadpole_Recipe_Backpack_Effect_Refrigerated;Plan: Backpack Refrigerated Mod
5145935;Recipe_Workshop_Appliances_PicnicGrill;Plan: Backyard Grill
6279308;Recipe_Workshop_FloorDecor_BalloonArch;Plan: Balloon Arch
5442094;recipe_DLC03_mod_HarpoonGun_Magazine_Barbed;Plan: Barbed Harpoon
4582487;recipe_mod_melee_SheepsquatchClub_Barbwire;Plan: Barbed Sheepsquatch Club
4582481;recipe_mod_melee_SheepsquatchStaff_Barbwire;Plan: Barbed Sheepsquatch Staff
2835107;recipe_mod_melee_WalkingCane_SpikesSmall;Plan: Barbed Walking Cane
5139699;Recipe_Workshop_Walls_Barn_Set;Plan: Barn Building Set
4419566;Recipe_Weapon_Melee_BaseballBat;Plan: Baseball Bat
1708933;recipe_DLC04_mod_melee_BaseballBat_Heated;Plan: Baseball Bat Heated Coil
1708215;recipe_DLC04_mod_melee_BaseballBat_Rocket;Plan: Baseball Bat Rocket
1708216;recipe_DLC04_mod_melee_BaseballBat_Rocket_SpikesLarge_Heated;Plan: Baseball Bat Searing Puncturing Rocket
5145919;Recipe_Workshop_FloorDecor_Statues_Baseball01;Plan: Baseball Player Statue
5147037;Recipe_Workshop_MiscStructures_BasketballHoop;Plan: Basketball Hoop
5147039;Recipe_Workshop_MiscStructures_BasketballHoop02;Plan: Basketball Hoop 2
5147015;Recipe_Workshop_Appliances_BathroomToilet_Broken;Plan: Bathroom Toilet
5147017;Recipe_Workshop_Appliances_BathroomBathtub_Broken;Plan: Bathtub
4419567;Recipe_Weapon_Melee_Baton;Plan: Baton
4192992;Recipe_Weapon_Melee_BearArm;Plan: Bear Arm
4192993;recipe_mod_melee_BearArm_Heavy;Plan: Bear Arm Heavy Mod
4192994;recipe_mod_melee_BearArm_Puncturing;Plan: Bear Arm Puncturing Mod
4023580;Recipe_Workshop_Container_BearProof_Trashcan;Plan: Bear-Proof Trashcan
6105932;Recipe_Workshop_Bed_BedofNails;Plan: Bed of Nails
6374291;SCORE_Recipe_workshop_CAMP_Utility_Beehive_GoldVendor;Plan: Beehive
4147017;Recipe_Workshop_Crafting_Brewing_BeerKeg;Plan: Beer Keg
5922312;Recipe_Workshop_Displays_BeerSteins;Plan: Beer Steins Display Case
140539;recipe_mod_armor_Combat_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Combat Armor Lining
210872;recipe_mod_armor_Leather_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Leather Armor Lining
163269;recipe_mod_armor_Metal_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Metal Armor Lining
158142;recipe_mod_armor_RaiderMod_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Raider Armor Lining
114481;recipe_mod_armor_Robot_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Robot Armor Lining
157883;recipe_mod_armor_Trapper_Lining_Torso_Mesh_BioComm;Plan: BioCommMesh Trapper Armor Lining
4375881;Recipe_Backpack_Standard_Material_BlackCloth;Plan: Black Cloth Backpack
4375883;Recipe_Backpack_Standard_Material_BlackLeather;Plan: Black Leather Backpack
6412981;Recipe_Workshop_Structure_BackwoodsBungalow_Black;Plan: Blackburn's Bungalow
5195627;Recipe_Weapon_Ranged_Blackpowder_Pistol;Plan: Blackpowder Pistol
5195631;Recipe_Weapon_Ranged_Blackpowder_Rifle;Plan: Blackpowder Rifle
2835108;recipe_DLC04_mod_melee_DLC04_CommieWhacker_BladesLarge;Plan: Bladed Commie Whacker
4419644;CUT_recipe_mod_PaddleBall_Bladed;Plan: Bladed Paddle Ball
4629418;zzz_Recipe_Backpack_Material_Blue;Plan: Blue Backpack Material
5851719;Recipe_Backpack_Standard_Material_Blueridge;Plan: Blue Ridge Caravan Backpack
5821389;Recipe_Workshop_WallDecor_BRCCFlag01;Plan: Blue Ridge Caravan Flag
4023548;Recipe_Workshop_Shelves_CharGen_Shelf03;Plan: Bookcase
157859;recipe_mod_armor_Combat_Arm_Material_BOS;Plan: BoS Combat Armor Arms
140541;recipe_mod_armor_Combat_Torso_Material_BOS;Plan: BoS Combat Armor Chest Piece
157831;recipe_mod_armor_Combat_Leg_Material_BOS;Plan: BoS Combat Armor Legs
3224855;recipe_Armor_BoS_Knight_Underarmor;Plan: BOS Knight Uniform
6274943;Recipe_Workshop_WallDecor_BOSMedallion;Plan: BoS Medallion
3224854;recipe_Armor_BoS_Officer_Underarmor;Plan: BOS Officer Uniform
3224312;recipe_Armor_BoS_Soldier_Underarmor;Plan: BOS Soldier Uniform
5974765;zzz_BS00_Recipe_Workshop_FloorDecor_BoS_StandingBanner;Plan: BoS Standing Banner
6274944;Recipe_Workshop_FloorDecor_CarnivalBalloons;Plan: Bouquet of Star Balloons
5804898;W05_Recipe_Weapon_Ranged_RegularBow;Plan: Bow
5881690;W05_recipe_mod_RegularBow_Arrow_Cryo;Plan: Bow Cryo Arrows
5881691;W05_recipe_mod_RegularBow_Arrow_Explosive;Plan: Bow Explosive Arrows
5881692;POST_recipe_mod_RegularBow_Arrow_Firework;Plan: Bow Firework Arrows
5881693;W05_recipe_mod_RegularBow_Arrow_Flaming;Plan: Bow Flaming Arrows
5895258;W05_recipe_mod_RegularBow_Scope_IronSights_Glow;Plan: Bow Glow Sights
5881694;W05_recipe_mod_RegularBow_Arrow_Plasma;Plan: Bow Plasma Arrows
5881695;W05_recipe_mod_RegularBow_Arrow_Poison;Plan: Bow Poison Arrows
5911995;W05_recipe_mod_RegularBow_Arrow_AntiScorchBeast;Plan: Bow Ultracite Arrows
4419568;Recipe_Weapon_Melee_BowieKnife;Plan: Bowie Knife
4419569;Recipe_Weapon_Melee_BoxingGlove;Plan: Boxing Glove
1585947;recipe_mod_melee_BoxingGlove_ExtraHeavyHead;Plan: Boxing Glove Lead Lining
6094997;Recipe_Workshop_Crafting_CraftingCooking_Animalistic_Grill;Plan: Brahmin Grill
5152719;Recipe_Workshop_Resources_Collector_Fertilizer;Plan: Brahmin Pen
6149845;Recipe_Workshop_FloorDecor_Plushie_Brahmin;Plan: Brahmin Plushie
4629359;Recipe_Workshop_Crafting_Brewing_Bench;Plan: Brewing Station
5139701;Recipe_Workshop_Walls_Brick_Set;Plan: Brick Building Set
4419599;Recipe_Weapon_Ranged_Broadsider;Plan: Broadsider
5463094;recipe_mod_Broadsider_Magazine_Multi;Plan: Broadsider Multi Shot Canister
6319252;Recipe_Clothes_BrotherhoodCivvies;Plan: Brotherhood Civvies
6156348;Recipe_mod_armor_BOSInfantry_Lining_LimbArm_ReducedPowerAttack;Plan: Brotherhood Recon Aerodynamic Armor Arms
6156355;Recipe_mod_armor_BOSInfantry_Lining_Torso_FlameResistance;Plan: Brotherhood Recon Asbestos Lined Armor Torso
6156361;Recipe_mod_armor_BOSInfantry_Lining_Torso_Mesh_BioComm;Plan: Brotherhood Recon BioCommMesh Armor Torso
6156345;Recipe_mod_armor_BOSInfantry_Lining_LimbArm_BetterBlocking;Plan: Brotherhood Recon Braced Armor Arms
6156346;Recipe_mod_armor_BOSInfantry_Lining_LimbArm_Brawler;Plan: Brotherhood Recon Brawling Armor Arms
6156338;Recipe_mod_armor_BOSInfantry_Arm_Material_4;Plan: Brotherhood Recon Buttressed Armor Arms
6156342;Recipe_mod_armor_BOSInfantry_Leg_Material_4;Plan: Brotherhood Recon Buttressed Armor Legs
6156367;Recipe_mod_armor_BOSInfantry_Torso_Material_4;Plan: Brotherhood Recon Buttressed Armor Torso
6156334;Recipe_Armor_BOSInfantry_Torso;Plan: Brotherhood Recon Chest Piece
6156350;Recipe_mod_armor_BOSInfantry_Lining_LimbLeg_ReducedFallingDamage;Plan: Brotherhood Recon Cushioned Armor Legs
6156351;Recipe_mod_armor_BOSInfantry_Lining_LimbLeg_ReducedSprint;Plan: Brotherhood Recon Custom Fitted Armor Legs
6156343;Recipe_mod_armor_BOSInfantry_Lining_Limb_ImprovedCarryCapacity2;Plan: Brotherhood Recon Deep Pocketed Armor Limbs
6156356;Recipe_mod_armor_BOSInfantry_Lining_Torso_ImprovedCarryCapacity2;Plan: Brotherhood Recon Deep Pocketed Armor Torso
6156354;Recipe_mod_armor_BOSInfantry_Lining_Torso_Explosion2;Plan: Brotherhood Recon Dense Armor Torso
6156337;Recipe_mod_armor_BOSInfantry_Arm_Material_3;Plan: Brotherhood Recon Hardened Armor Arms
6156341;Recipe_mod_armor_BOSInfantry_Leg_Material_3;Plan: Brotherhood Recon Hardened Armor Legs
6156366;Recipe_mod_armor_BOSInfantry_Torso_Material_3;Plan: Brotherhood Recon Hardened Armor Torso
6156331;Recipe_Armor_BOSInfantry_Helmet;Plan: Brotherhood Recon Helmet
6156363;Recipe_mod_armor_BOSInfantry_Torso_Jetpack_GoldVendor;Plan: Brotherhood Recon Jet Pack
6225807;Recipe_mod_armor_BOSInfantry_Lining_Limb_ResistanceRadiation;Plan: Brotherhood Recon Lead Lined Armor Limbs
6156362;Recipe_mod_armor_BOSInfantry_Lining_Torso_Mesh_ResistanceRadiation;Plan: Brotherhood Recon Lead Lined Armor Torso
6156329;Recipe_Armor_BOSInfantry_ArmLeft;Plan: Brotherhood Recon Left Arm
6156332;Recipe_Armor_BOSInfantry_LegLeft;Plan: Brotherhood Recon Left Leg
6191539;recipe_mod_armor_BOSInfantry_Lining_Limb_Lighter;Plan: Brotherhood Recon Lighter Build Armor Limbs
6156360;Recipe_mod_armor_BOSInfantry_Lining_Torso_Lighter;Plan: Brotherhood Recon Lighter Build Armor Torso
6225805;recipe_mod_armor_BOSInfantry_Lining_Limb_ReducedDetection;Plan: Brotherhood Recon Muffled Armor Limbs
6156353;Recipe_mod_armor_BOSInfantry_Lining_Torso_Explosion1;Plan: Brotherhood Recon Padded Armor Torso
6156358;Recipe_mod_armor_BOSInfantry_Lining_Torso_LessStagger;Plan: Brotherhood Recon Pneumatic Armor Torso
6156344;Recipe_mod_armor_BOSInfantry_Lining_Limb_ImprovedCarryCapacity;Plan: Brotherhood Recon Pocketed Armor Limb
6156357;Recipe_mod_armor_BOSInfantry_Lining_Torso_ImprovedCarryCapacity;Plan: Brotherhood Recon Pocketed Armor Torso
5311353;BoSZ03_Recipe_ReconRifleRecipe;Plan: Brotherhood Recon Rifle
6156330;Recipe_Armor_BOSInfantry_ArmRight;Plan: Brotherhood Recon Right Arm
6156333;Recipe_Armor_BOSInfantry_LegRight;Plan: Brotherhood Recon Right Leg
6156352;Recipe_mod_armor_BOSInfantry_Lining_LimbLeg_StealthMove;Plan: Brotherhood Recon Sleek Armor Legs
6156349;Recipe_mod_armor_BOSInfantry_Lining_LimbArm_Stabilized;Plan: Brotherhood Recon Stabilized Armor Arms
6225806;recipe_mod_armor_BOSInfantry_Lining_Limb_ResistanceLimbDamage;Plan: Brotherhood Recon Strengthened Armor Limbs
6156336;Recipe_mod_armor_BOSInfantry_Arm_Material_2;Plan: Brotherhood Recon Tempered Armor Arms
6156340;Recipe_mod_armor_BOSInfantry_Leg_Material_2;Plan: Brotherhood Recon Tempered Armor Legs
6156365;Recipe_mod_armor_BOSInfantry_Torso_Material_2;Plan: Brotherhood Recon Tempered Armor Torso
6156359;Recipe_mod_armor_BOSInfantry_Lining_Torso_Lighter2;Plan: Brotherhood Recon Ultra-Light Build Armor Torso
6191540;recipe_mod_armor_BOSInfantry_Lining_Limb_Lighter2;Plan: Brotherhood Recon Ultra-Light Build Limbs
6156347;Recipe_mod_armor_BOSInfantry_Lining_LimbArm_IgnoreArmor;Plan: Brotherhood Recon Weighted Armor Arms
6156335;Recipe_mod_armor_BOSInfantry_Arm_Material_1;Plan: Brotherhood Recon Welded Armor Arms
6156339;Recipe_mod_armor_BOSInfantry_Leg_Material_1;Plan: Brotherhood Recon Welded Armor Legs
6156364;Recipe_mod_armor_BOSInfantry_Torso_Material_1;Plan: Brotherhood Recon Welded Armor Torso
6195577;Recipe_Workshop_BOSRoundTable;Plan: Brotherhood Roundtable
4375885;Recipe_Backpack_Standard_Material_BrownLeather;Plan: Brown Leather Backpack
6098696;Recipe_Workshop_DefensiveStructures_BubbleTurret;Plan: Bubble Turret
5130320;Recipe_Workshop_Bed_NpcBunkBedLay01;Plan: Bunk Bed
4023588;Recipe_Workshop_Container_Prewar_Fancy_Bureau01;Plan: Bureau
4582489;recipe_mod_melee_SheepsquatchClub_BurningBarbwire;Plan: Burning Barbed Sheepsquatch Club
4582483;recipe_mod_melee_SheepsquatchStaff_BurningBarbwire;Plan: Burning Barbed Sheepsquatch Staff
4582488;recipe_mod_melee_SheepsquatchClub_Burning;Plan: Burning Sheepsquatch Club
4582482;recipe_mod_melee_SheepsquatchStaff_Burning;Plan: Burning Sheepsquatch Staff
6098703;Recipe_Workshop_WallDecor_BurrowsSigns;Plan: Burrows Signs
4023597;Recipe_Workshop_Container_Prewar_Cabinet_Garage;Plan: Cabinets
3963878;Recipe_Workshop_Tables_CafeTables;Plan: Cafe Tables
6098698;Recipe_Workshop_Lights_CagedBulbLights;Plan: Caged Bulb Lights
6412886;Recipe_Backpack_Standard_Material_Responders_Camo;Plan: Camo Backpack
4641424;Recipe_Workshop_MiscStructures_Tent_CampfireTales;Plan: Campfire Tales Tent
5805601;W05_Recipe_Weapon_Melee_Cattleprod_GoldVendor;Plan: Cattle Prod
1584974;recipe_mod_Chainsaw_Flamer;Plan: Chainsaw Flamer
1584973;recipe_mod_Chainsaw_Bar_Bow_Long;Plan: Chainsaw Long Bow Bar
6095000;Recipe_Backpack_Standard_Material_Chally;Plan: Chally the Moo-Moo Backpack
5902036;W05_Recipe_mod_BackPack_Effect_Pillager_GoldVendor;Plan: Chemist's Backpack Mod
5130363;Recipe_Workshop_Crafting_CraftingChems;Plan: Chemistry Workbench
6146638;SCORE_Recipe_workshop_CAMP_Utility_ChickenCoop_GoldVendor;Plan: Chicken Coop
5158716;Recipe_Weapon_Melee_ChineseOfficerSword;Plan: Chinese Officer Sword
1585883;recipe_mod_melee_ChineseOfficerSword_Shock;Plan: Chinese Officer Sword Electrified Blade
1585754;recipe_mod_melee_ChineseOfficerSword_ShockAndSerrated;Plan: Chinese Officer Sword Electrified Serrated Blade
5855320;W05_Recipe_Armor_ChineseStealthArmor_GoldVendor;Plan: Chinese Stealth Armor
5855319;W05_Recipe_Headwear_ChineseStealthArmor_GoldVendor;Plan: Chinese Stealth Helmet
5147003;Recipe_Workshop_Appliances_CigaretteMachine;Plan: Cigarette Machine
5954964;Recipe_Workshop_FloorDecor_Circus_Trailer;Plan: Circus Cage Trailer
3807103;recipe_Clothes_CivilWarEraDress;Plan: Civil War Era Dress
3807104;recipe_Clothes_CivilWarEraSuit;Plan: Civil War Era Suit
5301231;recipe_Headwear_CivilWarEraHat;Plan: Civil War Era Top Hat
5731006;Recipe_Workshop_FloorDecor_PumpkinCarved01;Plan: Classic Jack O'Lantern
4419597;Recipe_Weapon_Ranged_CombatRifle_MQ;Plan: Combat Rifle
5459921;recipe_mod_CombatRifle_Receiver_AmmoConv38;Plan: Combat Rifle .38 Receiver
5459923;recipe_mod_CombatRifle_Receiver_Auto-AmmoConv;Plan: Combat Rifle Automatic .38 Receiver
5459924;recipe_mod_CombatRifle_Receiver_CritDMG-AmmoConv;Plan: Combat Rifle Critical .38 Receiver
5459072;recipe_mod_CombatRifle_Receiver_FastTrigger-AmmoConv;Plan: Combat Rifle Hasty .38 Receiver
5459073;recipe_mod_CombatRifle_SCOPE_LongScope_NV_Base;Plan: Combat Rifle Long NV Scope
3271251;recipe_mod_CombatRifle_SCOPE_LongScope_Recon;Plan: Combat Rifle Long Recon Scope
5459062;recipe_mod_CombatRifle_SCOPE_MediumScope_NV_Base;Plan: Combat Rifle Medium NV Scope
5459922;recipe_mod_CombatRifle_Receiver_AmmoConv38-HipAccuracy;Plan: Combat Rifle Precise .38 Receiver
5459071;recipe_mod_CombatRifle_Receiver_Damage-AmmoConv;Plan: Combat Rifle Refined .38 Receiver
3271273;recipe_mod_CombatRifle_Receiver_ScorchedKiller;Plan: Combat Rifle Scorched Killer's Receiver
5459063;recipe_mod_CombatRifle_SCOPE_ShortScope_NV_Base;Plan: Combat Rifle Short NV Scope
5459070;recipe_mod_CombatRifle_Receiver_CritDMG-FastTrigger;Plan: Combat Rifle Snappy Receiver
5195647;Recipe_Weapon_Ranged_Combatshotgun;Plan: Combat Shotgun
5459064;recipe_mod_CombatShotgun_SCOPE_longscope_NV_Base;Plan: Combat Shotgun Long NV Scope
5459065;recipe_mod_CombatShotgun_SCOPE_mediumscope_NV_Base;Plan: Combat Shotgun Medium NV Scope
5442092;recipe_mod_CombatShotgun_SCOPE_shortscope_NV_Base;Plan: Combat Shotgun Short NV Scope
3970296;Recipe_Workshop_WallDecor_PoweredPoster_Communism;Plan: Communism Posters
5804893;W05_Recipe_Weapon_Ranged_CompoundBow;Plan: Compound Bow
5880942;W05_recipe_mod_CompoundBow_Arrow_Cryo;Plan: Compound Bow Cryo Arrows
5880943;W05_recipe_mod_CompoundBow_Arrow_Explosive;Plan: Compound Bow Explosive Arrows
5880944;POST_recipe_mod_CompoundBow_Arrow_Firework;Plan: Compound Bow Firework Arrows
5880945;W05_recipe_mod_CompoundBow_Arrow_Flaming;Plan: Compound Bow Flaming Arrows
5895257;W05_recipe_mod_CompoundBow_Scope_IronSights_Glow;Plan: Compound Bow Glow Sights
5880946;W05_recipe_mod_CompoundBow_Arrow_Plasma;Plan: Compound Bow Plasma Arrows
5880947;W05_recipe_mod_CompoundBow_Arrow_Poison;Plan: Compound Bow Poisoned Arrows
5911996;W05_recipe_mod_CompoundBow_Arrow_AntiScorchBeast;Plan: Compound Bow Ultracite Arrows
6193460;Recipe_Workshop_WallDecor_CondemnedNotificationSigns;Plan: Condemned Notification Sign
5301232;recipe_Headwear_CivilWarHatConfederate;Plan: Confederate Hat
3807106;recipe_Clothes_CivilWarUniformConfederate;Plan: Confederate Uniform
5130365;Recipe_Workshop_Crafting_CraftingCooking_Spit;Plan: Cooking Spit
5130373;Recipe_Workshop_Crafting_CraftingCooking_Stove;Plan: Cooking Stove
4023596;Recipe_Workshop_Container_Cooler;Plan: Cooler
5301234;recipe_Headwear_HalloweenCostume01Hat_Witch;Plan: Costume Witch Hat
6277548;Recipe_Armor_EnclaveScoutUniform_Torso_Covert;Plan: Covert Scout Armor Chest Piece
6277553;Recipe_Armor_EnclaveScoutUniform_ArmLeft_Covert;Plan: Covert Scout Armor Left Arm
6277550;Recipe_Armor_EnclaveScoutUniform_LegLeft_Covert;Plan: Covert Scout Armor Left Leg
6277549;Recipe_Headwear_EnclaveScoutUniform_Mask_Covert;Plan: Covert Scout Armor Mask
6277552;Recipe_Armor_EnclaveScoutUniform_ArmRight_Covert;Plan: Covert Scout Armor Right Arm
6277551;Recipe_Armor_EnclaveScoutUniform_LegRight_Covert;Plan: Covert Scout Armor Right Leg
4257386;W05_MQ_002P_Radical_Recipe_Workshop_CraneRadioTransmitter;Plan: Crane Treasure Hunting Sign
6286117;zzz_Recipe_Workshop_Food_PumpkinCrop;Plan: Crop - Pumpkin
5195648;Recipe_Weapon_Ranged_Crossbow;Plan: Crossbow
6212564;Recipe_Workshop_Benches_CrowdBench;Plan: Crowd Bench Seats
6186485;Recipe_Weapon_Ranged_BoSPistol;Plan: Crusader Pistol
6186493;Recipe_mod_BoSPistol_Receiver_AmmoConv556_GoldVendor;Plan: Crusader Pistol 5.56 Receiver
6186492;Recipe_mod_BoSPistol_Receiver_Cryo_GoldVendor;Plan: Crusader Pistol Cryo Receiver
6186494;Recipe_mod_BoSPistol_Magazine_Extended_GoldVendor;Plan: Crusader Pistol Extended Magazine
6186490;Recipe_mod_BoSPistol_Receiver_Fusion_GoldVendor;Plan: Crusader Pistol Fusion Receiver
6186489;Recipe_mod_BoSPistol_Barrel_Long_GoldVendor;Plan: Crusader Pistol Long Barrel
6186491;Recipe_mod_BoSPistol_Receiver_Pyro_GoldVendor;Plan: Crusader Pistol Pyro Receiver
6186487;Recipe_mod_BoSPistol_Scope_Reflex_GoldVendor;Plan: Crusader Pistol Reflex Sight
6186488;Recipe_mod_BoSPistol_Scope_ShortScope_GoldVendor;Plan: Crusader Pistol Short Scope
6186486;Recipe_mod_BoSPistol_muzzle_Suppressor_GoldVendor;Plan: Crusader Pistol Suppressor
5879658;recipe_mod_Crossbow_receiver_Cryo;Plan: Cryo Crossbow Frame
5145833;Recipe_Tinkers_GrenadeCryo;Plan: Cryo Grenade
5145834;Recipe_Tinkers_MineCryo;Plan: Cryo Mine
6315758;Recipe_Workshop_Bed_CryogenicBed;Plan: Cryogenic Bed
5195649;Recipe_Weapon_Ranged_Cryolater;Plan: Cryolator
4023537;Recipe_Workshop_WallDecor_WallClocks_Cuckoo;Plan: Cuckoo Clock
5158717;Recipe_Weapon_Melee_CultistBlade;Plan: Cultist Blade
5158718;Recipe_Weapon_Melee_CultistDagger;Plan: Cultist Dagger
143000;recipe_mod_armor_Combat_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Combat Armor Legs
218218;recipe_mod_armor_Leather_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Leather Armor Legs
137413;recipe_DLC03_mod_armor_Marine_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Marine Armor Legs
178548;recipe_mod_armor_Metal_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Metal Armor Legs
195689;recipe_mod_armor_RaiderMod_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Raider Armor Legs
114485;recipe_mod_armor_Robot_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Robot Armor Legs
157925;recipe_mod_armor_Trapper_Lining_LimbLeg_ReducedFallingDamage;Plan: Cushioned Trapper Armor Legs
5145911;Recipe_Workshop_FloorDecor_Rugs_DaisyRug;Plan: Daisy Rug
5194464;Recipe_Weapon_Melee_DeathTambo;Plan: Death Tambo
4419570;Recipe_Weapon_Melee_DeathclawGauntlet;Plan: Deathclaw Gauntlet
2835142;recipe_mod_melee_DeathclawGauntlet_Hook;Plan: Deathclaw Gauntlet Extra Claw
5381965;Recipe_Workshop_MiscStructures_DeconArch;Plan: Decontamination Shower
6347748;Recipe_Workshop_FloorDecor_DecoyDuckSet;Plan: Decoy Ducks
143002;recipe_mod_armor_Combat_Lining_Torso_ImprovedCarryCapacity2;Plan: Deep Pocketed Combat Armor Chest
143901;recipe_mod_armor_Combat_Lining_Limb_ImprovedCarryCapacity2;Plan: Deep Pocketed Combat Armor Limbs
210870;recipe_mod_armor_Leather_Lining_Torso_ImprovedCarryCapacity2;Plan: Deep Pocketed Leather Armor Chest
218220;recipe_mod_armor_Leather_Lining_Limb_ImprovedCarryCapacity2;Plan: Deep Pocketed Leather Armor Limbs
137488;recipe_DLC03_mod_armor_Marine_Lining_Limb_ImprovedCarryCapacity2;Plan: Deep Pocketed Marine Armor Limbs
163267;recipe_mod_armor_Metal_Lining_Torso_ImprovedCarryCapacity2;Plan: Deep Pocketed Metal Armor Chest
190679;recipe_mod_armor_Metal_Lining_Limb_ImprovedCarryCapacity2;Plan: Deep Pocketed Metal Armor Limbs
